ISSN,PMID
0020-7489,37523952
0020-7489,37523951
0020-7489,37453248
0020-7489,37453247
0020-7489,37451071
0020-7489,37423201
0020-7489,37421830
0020-7489,37390582
0020-7489,37369147
0020-7489,37354792
0020-7489,37354791
0020-7489,37348392
0020-7489,37348391
0020-7489,37327686
0020-7489,37321140
0020-7489,37315453
0020-7489,37307638
0020-7489,37295286
0020-7489,37295285
0020-7489,37295284
0020-7489,37285731
0020-7489,37268543
0020-7489,37267853
0020-7489,37263057
0020-7489,37209531
0020-7489,37201336
0020-7489,37196607
0020-7489,37156080
0020-7489,37149953
0020-7489,37149952
0020-7489,37146391
0020-7489,37105046
0020-7489,37099847
0020-7489,37084476
0020-7489,37080122
0020-7489,37080121
0020-7489,37068418
0020-7489,37059032
0020-7489,37004340
0020-7489,37001188
0020-7489,36972639
0020-7489,36966711
0020-7489,36940648
0020-7489,36935310
0020-7489,36935309
0020-7489,36934659
0020-7489,36931177
0020-7489,36913911
0020-7489,36898269
0020-7489,36871541
0020-7489,36871540
0020-7489,36857979
0020-7489,36841192
0020-7489,36827745
0020-7489,36821953
0020-7489,36821952
0020-7489,36821951
0020-7489,36821950
0020-7489,36812849
0020-7489,36805581
0020-7489,36796118
0020-7489,36796117
0020-7489,36764033
0020-7489,36746012
0020-7489,36746011
0020-7489,36731308
0020-7489,36682322
0020-7489,36640700
0020-7489,36638590
0020-7489,36630873
0020-7489,36630872
0020-7489,36623948
0020-7489,36584446
0020-7489,36577261
0020-7489,36577260
0020-7489,36566588
0020-7489,36549146
0020-7489,36528912
0020-7489,36527860
0020-7489,36527859
0020-7489,36527858
0020-7489,36495596
0020-7489,36481597
0020-7489,36481596
0020-7489,36481595
0020-7489,36473304
0020-7489,36462385
0020-7489,36446246
0020-7489,36446245
0020-7489,36442356
0020-7489,36442355
0020-7489,36442321
0020-7489,36435003
0020-7489,36434931
0020-7489,36427481
0020-7489,36427480
0020-7489,36423423
0020-7489,36402057
0020-7489,36402056
0020-7489,36399944
0020-7489,36379104
0020-7489,36375309
0020-7489,36356548
0020-7489,36356547
0020-7489,36356546
0020-7489,36327682
0020-7489,36327681
0020-7489,36327680
0020-7489,36306572
0020-7489,36306571
0020-7489,36209575
