ISSN,PMID,DOI,Available on ScienceDirect,Available on PubMed Central,Available on LibGen
0020-7489,37523952,10.1016/j.ijnurstu.2023.104563,True,None,None
0020-7489,37523951,10.1016/j.ijnurstu.2023.104559,True,None,None
0020-7489,37453248,10.1016/j.ijnurstu.2023.104557,True,None,None
0020-7489,37453247,10.1016/j.ijnurstu.2023.104556,True,None,None
0020-7489,37451071,10.1016/j.ijnurstu.2023.104543,True,None,None
0020-7489,37423201,10.1016/j.ijnurstu.2023.104546,True,None,None
0020-7489,37421830,10.1016/j.ijnurstu.2023.104555,True,None,None
0020-7489,37390582,10.1016/j.ijnurstu.2023.104526,True,None,None
0020-7489,37369147,10.1016/j.ijnurstu.2023.104545,True,None,None
0020-7489,37354792,10.1016/j.ijnurstu.2023.104522,True,None,None
0020-7489,37354791,10.1016/j.ijnurstu.2023.104544,True,None,None
0020-7489,37348392,10.1016/j.ijnurstu.2023.104530,True,None,None
0020-7489,37348391,10.1016/j.ijnurstu.2023.104534,True,None,None
0020-7489,37327686,10.1016/j.ijnurstu.2023.104523,True,None,None
0020-7489,37321140,10.1016/j.ijnurstu.2023.104531,True,None,None
0020-7489,37315453,10.1016/j.ijnurstu.2023.104532,True,None,None
0020-7489,37307638,10.1016/j.ijnurstu.2023.104529,True,None,None
0020-7489,37295286,10.1016/j.ijnurstu.2023.104527,True,None,None
0020-7489,37295285,10.1016/j.ijnurstu.2023.104524,True,None,None
0020-7489,37295284,10.1016/j.ijnurstu.2023.104520,True,None,None
0020-7489,37285731,10.1016/j.ijnurstu.2023.104533,True,None,None
0020-7489,37268543,10.1016/j.ijnurstu.2023.104528,True,None,None
0020-7489,37267853,10.1016/j.ijnurstu.2023.104505,True,None,None
0020-7489,37263057,10.1016/j.ijnurstu.2023.104525,True,None,None
0020-7489,37209531,10.1016/j.ijnurstu.2023.104508,True,None,None
0020-7489,37201336,10.1016/j.ijnurstu.2023.104521,True,None,None
0020-7489,37196607,10.1016/j.ijnurstu.2023.104507,True,None,None
0020-7489,37156080,10.1016/j.ijnurstu.2023.104496,True,None,None
0020-7489,37149953,10.1016/j.ijnurstu.2023.104504,True,None,None
0020-7489,37149952,10.1016/j.ijnurstu.2023.104506,True,None,None
0020-7489,37146391,10.1016/j.ijnurstu.2023.104494,True,None,None
0020-7489,37105046,10.1016/j.ijnurstu.2023.104493,True,None,None
0020-7489,37099847,10.1016/j.ijnurstu.2023.104495,True,None,None
0020-7489,37084476,10.1016/j.ijnurstu.2023.104492,True,None,None
0020-7489,37080122,10.1016/j.ijnurstu.2023.104468,True,PMC10180237,None
0020-7489,37080121,10.1016/j.ijnurstu.2023.104469,True,None,None
0020-7489,37068418,10.1016/j.ijnurstu.2023.104467,True,None,None
0020-7489,37059032,10.1016/j.ijnurstu.2023.104491,True,None,None
0020-7489,37004340,10.1016/j.ijnurstu.2023.104490,True,PMC10323862,None
0020-7489,37001188,10.1016/j.ijnurstu.2023.104479,True,None,None
0020-7489,36972639,10.1016/j.ijnurstu.2023.104476,True,None,None
0020-7489,36966711,10.1016/j.ijnurstu.2023.104470,True,None,None
0020-7489,36940648,10.1016/j.ijnurstu.2023.104477,True,None,None
0020-7489,36935310,10.1016/j.ijnurstu.2023.104480,True,None,None
0020-7489,36935309,10.1016/j.ijnurstu.2023.104478,True,None,None
0020-7489,36934659,10.1016/j.ijnurstu.2023.104473,True,None,None
0020-7489,36931177,10.1016/j.ijnurstu.2023.104475,True,None,None
0020-7489,36913911,10.1016/j.ijnurstu.2023.104474,True,None,None
0020-7489,36898269,10.1016/j.ijnurstu.2023.104472,True,None,None
0020-7489,36871541,10.1016/j.ijnurstu.2023.104466,True,None,None
0020-7489,36871540,10.1016/j.ijnurstu.2023.104471,True,None,None
0020-7489,36857979,10.1016/j.ijnurstu.2023.104465,True,None,None
0020-7489,36841192,10.1016/j.ijnurstu.2023.104454,True,None,None
0020-7489,36827745,10.1016/j.ijnurstu.2023.104453,True,None,None
0020-7489,36821953,10.1016/j.ijnurstu.2023.104456,True,None,None
0020-7489,36821952,10.1016/j.ijnurstu.2023.104452,True,None,None
0020-7489,36821951,10.1016/j.ijnurstu.2022.104413,True,None,None
0020-7489,36821950,10.1016/j.ijnurstu.2023.104455,True,None,None
0020-7489,36812849,10.1016/j.ijnurstu.2023.104451,True,None,None
0020-7489,36805581,10.1016/j.ijnurstu.2023.104449,True,None,None
0020-7489,36796118,10.1016/j.ijnurstu.2023.104447,True,None,None
0020-7489,36796117,10.1016/j.ijnurstu.2023.104450,True,None,None
0020-7489,36764033,10.1016/j.ijnurstu.2023.104437,True,None,None
0020-7489,36746012,10.1016/j.ijnurstu.2023.104446,True,PMC9862664,None
0020-7489,36746011,10.1016/j.ijnurstu.2023.104448,True,None,None
0020-7489,36731308,10.1016/j.ijnurstu.2023.104436,True,None,None
0020-7489,36682322,10.1016/j.ijnurstu.2022.104428,True,None,None
0020-7489,36640700,10.1016/j.ijnurstu.2022.104435,True,None,None
0020-7489,36638590,10.1016/j.ijnurstu.2022.104430,True,None,None
0020-7489,36630873,10.1016/j.ijnurstu.2022.104434,True,None,None
0020-7489,36630872,10.1016/j.ijnurstu.2022.104431,True,None,None
0020-7489,36623948,10.1016/j.ijnurstu.2022.104433,True,None,None
0020-7489,36584446,10.1016/j.ijnurstu.2022.104426,True,None,None
0020-7489,36577261,10.1016/j.ijnurstu.2022.104410,True,None,None
0020-7489,36577260,10.1016/j.ijnurstu.2022.104429,True,None,None
0020-7489,36566588,10.1016/j.ijnurstu.2022.104374,True,None,None
0020-7489,36549146,10.1016/j.ijnurstu.2022.104414,True,None,None
0020-7489,36528912,10.1016/j.ijnurstu.2022.104412,True,None,None
0020-7489,36527860,10.1016/j.ijnurstu.2022.104409,True,None,None
0020-7489,36527859,10.1016/j.ijnurstu.2022.104408,True,PMC9684088,None
0020-7489,36527858,10.1016/j.ijnurstu.2022.104415,True,None,None
0020-7489,36495596,10.1016/j.ijnurstu.2022.104411,True,None,None
0020-7489,36481597,10.1016/j.ijnurstu.2022.104383,True,None,None
0020-7489,36481596,10.1016/j.ijnurstu.2022.104395,True,None,None
0020-7489,36481595,10.1016/j.ijnurstu.2022.104407,True,PMC9671868,None
0020-7489,36473304,10.1016/j.ijnurstu.2022.104406,True,None,None
0020-7489,36462385,10.1016/j.ijnurstu.2022.104389,True,PMC9709452,None
0020-7489,36446246,10.1016/j.ijnurstu.2022.104393,True,None,None
0020-7489,36446245,10.1016/j.ijnurstu.2022.104394,True,None,None
0020-7489,36442356,10.1016/j.ijnurstu.2022.104396,True,None,None
0020-7489,36442355,10.1016/j.ijnurstu.2022.104390,True,None,None
0020-7489,36442321,10.1016/j.ijnurstu.2022.104391,True,None,None
0020-7489,36435003,10.1016/j.ijnurstu.2022.104387,True,None,None
0020-7489,36434931,10.1016/j.ijnurstu.2022.104392,True,None,None
0020-7489,36427481,10.1016/j.ijnurstu.2022.104386,True,None,None
0020-7489,36427480,10.1016/j.ijnurstu.2022.104388,True,None,None
0020-7489,36423423,10.1016/j.ijnurstu.2022.104385,True,PMC9640385,None
0020-7489,36402057,10.1016/j.ijnurstu.2022.104382,True,None,None
0020-7489,36402056,10.1016/j.ijnurstu.2022.104381,True,None,None
0020-7489,36399944,10.1016/j.ijnurstu.2022.104364,True,None,None
0020-7489,36379104,10.1016/j.ijnurstu.2022.104384,True,None,None
0020-7489,36375309,10.1016/j.ijnurstu.2022.104380,True,None,None
0020-7489,36356548,10.1016/j.ijnurstu.2022.104378,True,None,None
0020-7489,36356547,10.1016/j.ijnurstu.2022.104376,True,None,None
0020-7489,36356546,10.1016/j.ijnurstu.2022.104379,True,None,None
0020-7489,36327682,10.1016/j.ijnurstu.2022.104377,True,None,None
0020-7489,36327681,10.1016/j.ijnurstu.2022.104365,True,None,None
0020-7489,36327680,10.1016/j.ijnurstu.2022.104375,True,None,None
0020-7489,36306572,10.1016/j.ijnurstu.2022.104363,True,None,None
0020-7489,36306571,10.1016/j.ijnurstu.2022.104366,True,None,None
0020-7489,36209575,10.1016/j.ijnurstu.2022.104361,True,None,None
0020-7489,36208541,10.1016/j.ijnurstu.2022.104340,True,None,None
0020-7489,36206617,10.1016/j.ijnurstu.2022.104362,True,None,None
0020-7489,36162190,10.1016/j.ijnurstu.2022.104360,True,None,None
0020-7489,36152467,10.1016/j.ijnurstu.2022.104358,True,None,None
0020-7489,36152466,10.1016/j.ijnurstu.2022.104359,True,None,None
0020-7489,36123172,10.1016/j.ijnurstu.2022.104344,True,None,None
0020-7489,36122491,10.1016/j.ijnurstu.2022.104342,True,None,None
0020-7489,36116327,10.1016/j.ijnurstu.2022.104350,True,None,None
0020-7489,36095903,10.1016/j.ijnurstu.2022.104349,True,None,None
0020-7489,36088732,10.1016/j.ijnurstu.2022.104339,True,None,None
0020-7489,36088731,10.1016/j.ijnurstu.2022.104348,True,None,None
0020-7489,36084529,10.1016/j.ijnurstu.2022.104341,True,None,None
0020-7489,36031437,10.1016/j.ijnurstu.2022.104345,True,None,None
0020-7489,36029550,10.1016/j.ijnurstu.2022.104343,True,None,None
0020-7489,35986960,10.1016/j.ijnurstu.2022.104329,True,None,None
0020-7489,35985180,10.1016/j.ijnurstu.2022.104330,True,None,None
0020-7489,35981913,10.1016/j.ijnurstu.2022.104346,True,None,None
0020-7489,35981449,10.1016/j.ijnurstu.2022.104331,True,None,None
0020-7489,35952535,10.1016/j.ijnurstu.2022.104328,True,PMC9359895,None
0020-7489,35944288,10.1016/j.ijnurstu.2022.104327,True,None,None
0020-7489,35932711,10.1016/j.ijnurstu.2022.104326,True,None,None
1445-8330,37522422,10.1111/inm.13197,False,None,None
1445-8330,37477147,10.1111/inm.13192,False,None,None
1445-8330,37475208,10.1111/inm.13196,False,None,None
1445-8330,37464582,10.1111/inm.13195,False,None,None
1445-8330,37458217,10.1111/inm.13194,False,None,None
1445-8330,37449535,10.1111/inm.13193,False,None,None
