ISSN,PMID,DOI
0020-7489,37523952,10.1016/j.ijnurstu.2023.104563
0020-7489,37523951,10.1016/j.ijnurstu.2023.104559
0020-7489,37453248,10.1016/j.ijnurstu.2023.104557
0020-7489,37453247,10.1016/j.ijnurstu.2023.104556
0020-7489,37451071,10.1016/j.ijnurstu.2023.104543
0020-7489,37423201,10.1016/j.ijnurstu.2023.104546
0020-7489,37421830,10.1016/j.ijnurstu.2023.104555
0020-7489,37390582,10.1016/j.ijnurstu.2023.104526
0020-7489,37369147,10.1016/j.ijnurstu.2023.104545
0020-7489,37354792,10.1016/j.ijnurstu.2023.104522
0020-7489,37354791,10.1016/j.ijnurstu.2023.104544
0020-7489,37348392,10.1016/j.ijnurstu.2023.104530
0020-7489,37348391,10.1016/j.ijnurstu.2023.104534
0020-7489,37327686,10.1016/j.ijnurstu.2023.104523
0020-7489,37321140,10.1016/j.ijnurstu.2023.104531
0020-7489,37315453,10.1016/j.ijnurstu.2023.104532
0020-7489,37307638,10.1016/j.ijnurstu.2023.104529
0020-7489,37295286,10.1016/j.ijnurstu.2023.104527
0020-7489,37295285,10.1016/j.ijnurstu.2023.104524
0020-7489,37295284,10.1016/j.ijnurstu.2023.104520
0020-7489,37285731,10.1016/j.ijnurstu.2023.104533
0020-7489,37268543,10.1016/j.ijnurstu.2023.104528
0020-7489,37267853,10.1016/j.ijnurstu.2023.104505
0020-7489,37263057,10.1016/j.ijnurstu.2023.104525
0020-7489,37209531,10.1016/j.ijnurstu.2023.104508
0020-7489,37201336,10.1016/j.ijnurstu.2023.104521
0020-7489,37196607,10.1016/j.ijnurstu.2023.104507
0020-7489,37156080,10.1016/j.ijnurstu.2023.104496
0020-7489,37149953,10.1016/j.ijnurstu.2023.104504
0020-7489,37149952,10.1016/j.ijnurstu.2023.104506
0020-7489,37146391,10.1016/j.ijnurstu.2023.104494
0020-7489,37105046,10.1016/j.ijnurstu.2023.104493
0020-7489,37099847,10.1016/j.ijnurstu.2023.104495
0020-7489,37084476,10.1016/j.ijnurstu.2023.104492
0020-7489,37080122,10.1016/j.ijnurstu.2023.104468
0020-7489,37080121,10.1016/j.ijnurstu.2023.104469
0020-7489,37068418,10.1016/j.ijnurstu.2023.104467
0020-7489,37059032,10.1016/j.ijnurstu.2023.104491
0020-7489,37004340,10.1016/j.ijnurstu.2023.104490
0020-7489,37001188,10.1016/j.ijnurstu.2023.104479
0020-7489,36972639,10.1016/j.ijnurstu.2023.104476
0020-7489,36966711,10.1016/j.ijnurstu.2023.104470
