Journal Name,ISSN,PMID Per Journal,PMCID Per Journal
INT J NURS STUD,0020-7489,125,6
INT J MENT HEALTH NU,1445-8330,146,2
J NURS MANAGE,0966-0429,87,17
J CLIN NURS,0962-1067,622,5
WORLDV EVID-BASED NU,1545-102X,56,1
INTENS CRIT CARE NUR,0964-3397,137,17
J NURS SCHOLARSHIP,1527-6546,124,10
NURS EDUC TODAY,0260-6917,307,11
EUR J CARDIOVASC NUR,1474-5151,145,1
SEMIN ONCOL NURS,0749-2081,80,2
NURSE EDUC PRACT,1471-5953,182,9
INT NURS REV,0020-8132,86,3
J TISSUE VIABILITY,0965-206X,105,4
WOMEN BIRTH,1871-5192,168,4
NURS ETHICS,0969-7330,105,20
NURS OUTLOOK,0029-6554,99,10
AUST CRIT CARE,1036-7314,184,8
BMC NURS,1472-6955,323,323
HEART LUNG,0147-9563,246,29
BIRTH-ISS PERINAT C,0730-7659,89,0
J ADV NURS,0309-2402,453,23
NURS CRIT CARE,1362-1017,143,2
J MIDWIFERY WOM HEAL,1526-9523,124,12
CLIN SIMUL NURS,1876-1399,7,3
NURS EDUC,0363-3624,254,10
CANCER NURS,0162-220X,192,2
J PSYCHIATR MENT HLT,1351-0126,104,1
J FAM NURS,1074-8407,39,6
J HUM LACT,0890-3344,104,4
NURS INQ,1320-7881,69,0
MIDWIFERY,0266-6138,178,16
INT EMERG NURS,1755-599X,62,3
ASIAN NURS RES,1976-1317,26,1
EUR J ONCOL NURS,1462-3889,119,1
AM J NURS,0002-936X,231,7
GERIATR NURS,0197-4572,212,8
J PEDIATR NURS,0882-5963,242,16
J PERINAT NEONAT NUR,0893-2190,41,0
J NURS RES,1682-3141,48,0
INT J OLDER PEOPLE N,1748-3735,77,9
J CARDIOVASC NURS,0889-4655,113,2
J NURS EDUC,0148-4834,119,0
ADV SKIN WOUND CARE,1527-7941,122,7
NURS RES,0029-6562,67,2
J SCH NURS,1059-8405,54,4
PAIN MANAG NURS,1524-9042,119,2
WORKPLACE HEALTH SAF,2165-0799,85,11
EUR J CANCER CARE,0961-5423,131,4
BIOL RES NURS,1099-8004,61,3
J EMERG NURS,0099-1767,114,8
J PROF NURS,8755-7223,90,7
ARCH PSYCHIAT NURS,0883-9417,107,14
RES NURS HEALTH,0160-6891,60,6
INT J NURS PRACT,1322-7114,103,2
PERSPECT PSYCHIATR C,0031-5990,1,0
ASIA-PAC J ONCOL NUR,2347-5625,76,52
NURS HEALTH SCI,1441-0745,46,3
AM J CRIT CARE,1062-3264,65,1
CRIT CARE NURSE,0279-5442,45,0
ADV NURS SCI,0161-9268,62,0
CIN-COMPUT INFORM NU,1538-2931,119,4
CONTEMP NURSE,1037-6178,23,0
J HOSP PALLIAT NURS,1522-2179,40,2
AUST J RURAL HEALTH,1038-5282,112,5
J AM PSYCHIAT NURSES,1078-3903,67,1
JOGNN-J OBST GYN NEO,0884-2175,59,12
J WOUND OSTOMY CONT,1071-5754,62,3
J PEDIATR ONCOL NURS,1043-4542,0,0
NURS OPEN,2054-1058,669,309
J CHILD HEALTH CARE,1367-4935,79,2
ADV NEONAT CARE,1536-0903,81,1
J TRANSCULT NURS,1043-6596,63,9
J NURS REGUL,2155-8256,12,12
APPL NURS RES,0897-1897,32,5
J PEDIATR HEALTH CAR,0891-5245,75,13
J ASSOC NURSE AIDS C,1055-3290,60,7
COLLEGIAN,1322-7696,6,3
J NURS ADMIN,0002-0443,88,2
ONCOL NURS FORUM,0190-535X,11,0
NURS PHILOS,1466-7681,55,0
ISSUES MENT HEALTH N,0161-2840,114,0
AUSTRALAS EMERG CARE,N/A,758,0
WESTERN J NURS RES,0193-9459,112,10
PUBLIC HEALTH NURS,0737-1209,116,5
MCN-AM J MATERN-CHIL,0361-929X,75,2
J NURS CARE QUAL,1057-3631,89,2
REV LAT-AM ENFERM,1518-8345,74,80
CLIN NURS RES,1054-7738,136,17
JPN J NURS SCI,1742-7932,44,1
RES GERONTOL NURS,1940-4921,33,0
J NEUROSCI NURS,0888-0395,40,1
NURS CLIN N AM,0029-6465,41,9
J RENAL CARE,1755-6678,42,0
J AM ASSOC NURSE PRA,2327-6886,129,1
REHABIL NURS,0278-4807,38,0
CRIT CARE NURS CLIN,0899-5885,36,0
J GERONTOL NURS,0098-9134,70,2
J PSYCHOSOC NURS MEN,0279-3695,117,0
PFLEGE,1012-5302,42,0
J SPEC PEDIATR NURS,1539-0136,16,0
J PERIANESTH NURS,1089-9472,178,4
CLIN J ONCOL NURS,1092-1095,33,0
J KOREAN ACAD NURS,2005-3673,27,0
HOLIST NURS PRACT,0887-9311,53,0
WOUND MANAG PREV,2640-5237,18,0
AUST J ADV NURS,0813-0531,0,0
J FORENSIC NURS,1556-3693,39,0
NURS ECON,0746-1739,1,1
GASTROENTEROL NURS,1042-895X,67,2
INT J NURS KNOWL,2047-3087,45,0
CLIN NURSE SPEC,0887-6274,53,1
REV ESC ENFERM USP,0080-6234,62,59
J CONTIN EDUC NURS,0022-0124,74,0
ACTA PAUL ENFERM,0103-2100,0,0
ORTHOP NURS,0744-6020,57,0
J ADDICT NURS,1088-4602,29,3
J COMMUN HEALTH NURS,0737-0016,21,0
J TRAUMA NURS,1078-7496,59,2
NEPHROL NURS J,1526-744X,31,0
NURS SCI QUART,0894-3184,55,1
AORN J,0001-2092,103,0
JNP-J NURSE PRACT,1555-4155,13,8
ASSIST INFERM RIC,1592-5986,14,0
RES THEOR NURS PRACT,1541-6577,19,0
BARIATR SURG PRACT P,2168-023X,2,1
