Journal Name;JCR Abbreviation;ISSN;eISSN;Category;Total Citations;2021 JIF;JIF Quartile;2021 JCI;% of OA Gold;Instruction to Author;AI/ChatGPT (Searched on 10-11 May 2023);
INTERNATIONAL JOURNAL OF NURSING STUDIES;INT J NURS STUD;0020-7489;1873-491X;NURSING - SCIE;15,985;6.612;Q1;2.61;16.55%;https://www.elsevier.com/journals/international-journal-of-nursing-studies/0020-7489/guide-for-authors;No;39
International Journal of Mental Health Nursing;INT J MENT HEALTH NU;1445-8330;1447-0349;NURSING - SCIE;3,688;5.100;Q1;1.27;12.21%;https://onlinelibrary.wiley.com/page/journal/14470349/homepage/forauthors.html;No;
Journal of Nursing Management;J NURS MANAGE;0966-0429;1365-2834;NURSING - SCIE;7,291;4.680;Q1;1.68;10.33%;https://www.hindawi.com/journals/jonm/guidelines/;Yes;You can make use of a free artificial intelligence (AI)-based language editing tool, Writefull, at the point of submission. 
JOURNAL OF CLINICAL NURSING;J CLIN NURS;0962-1067;1365-2702;NURSING - SCIE;18,550;4.423;Q1;1.62;13.56%;https://onlinelibrary.wiley.com/page/journal/13652702/homepage/forauthors.html;No;
Worldviews on Evidence-Based Nursing;WORLDV EVID-BASED NU;1545-102X;1741-6787;NURSING - SCIE;2,139;4.347;Q1;1.28;9.15%;https://sigmapubs.onlinelibrary.wiley.com/hub/journal/17416787/about/forauthors;No;
Intensive and Critical Care Nursing;INTENS CRIT CARE NUR;0964-3397;1532-4036;NURSING - SCIE;2,859;4.235;Q1;1.65;12.35%;https://www.elsevier.com/journals/intensive-and-critical-care-nursing/0964-3397/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
JOURNAL OF NURSING SCHOLARSHIP;J NURS SCHOLARSHIP;1527-6546;1547-5069;NURSING - SCIE;4,558;3.928;Q1;1.73;8.96%;https://sigmapubs.onlinelibrary.wiley.com/hub/journal/15475069/about/forauthors;No;
NURSE EDUCATION TODAY;NURS EDUC TODAY;0260-6917;1532-2793;NURSING - SCIE;13,402;3.906;Q1;1.67;8.97%;https://www.elsevier.com/journals/nurse-education-today/0260-6917/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
European Journal of Cardiovascular Nursing;EUR J CARDIOVASC NUR;1474-5151;1873-1953;NURSING - SCIE;2,644;3.593;Q1;1.12;13.49%;https://academic.oup.com/eurjcn/pages/general-instructions;No;
Seminars in Oncology Nursing;SEMIN ONCOL NURS;0749-2081;1878-3449;NURSING - SCIE;1,709;3.527;Q1;0.65;3.96%;https://www.elsevier.com/journals/seminars-in-oncology-nursing/0749-2081/guide-for-authors;Yes;Where authors use generative artificial intelligence (AI) and AI-assisted technologies in the writing process, authors should only use these technologies to improve readability and language
