DOI,PMCID,Published Journal,Published Date,Article Type
10.1111/jnu.12842,10098933,J of Nursing Scholarship,2022-11-09,journal-article
10.1111/jnu.12819,10092821,J of Nursing Scholarship,2022-10-20,journal-article
10.1111/jnu.12800,10087136,J of Nursing Scholarship,2022-09-05,journal-article
10.1111/jnu.12857,9880736,J of Nursing Scholarship,2022-12-30,journal-article
10.1111/jnu.12849,9877762,J of Nursing Scholarship,2022-12-09,journal-article
10.1111/jnu.12850,9877733,J of Nursing Scholarship,2022-12-08,journal-article
10.1111/jnu.12859,9877706,J of Nursing Scholarship,2022-12-12,journal-article
10.1111/jnu.12832,9874805,J of Nursing Scholarship,2022-10-11,journal-article
10.1111/jnu.12816,9874613,J of Nursing Scholarship,2022-10-11,journal-article
10.1111/jnu.12826,9874471,J of Nursing Scholarship,2022-10-14,journal-article
10.1111/jnu.12835,9874398,J of Nursing Scholarship,2022-10-25,journal-article
10.1111/jnu.12860,9880696,J of Nursing Scholarship,2022-12-20,journal-article
10.1111/jnu.12855,9878168,J of Nursing Scholarship,2022-12-04,journal-article
10.1111/jnu.12865,9878144,J of Nursing Scholarship,2022-12-09,journal-article
10.1111/jnu.12834,9874729,J of Nursing Scholarship,2022-10-17,journal-article
10.1111/jnu.12821,9874623,J of Nursing Scholarship,2022-10-17,journal-article
10.1111/jnu.12824,9874600,J of Nursing Scholarship,2022-10-11,journal-article
10.1111/jnu.12820,9874530,J of Nursing Scholarship,2022-10-08,journal-article
10.1111/jnu.12853,9847252,J of Nursing Scholarship,2022-12-30,journal-article
10.1111/jnu.12814,9537958,J of Nursing Scholarship,2022-09-27,journal-article
10.1111/jnu.12815,9538970,J of Nursing Scholarship,2022-09-22,journal-article
10.1111/jnu.12809,9538453,J of Nursing Scholarship,2022-09-14,journal-article
